89,The Lord of The Rings,367-46-83100-67-0,Roger Salt
90,The Divine Comedy,374-83-82032-73-0,Ellen Barclay
91,One Hundred Years of Solitude,202-01-60611-45-0,David Whatson
92,Lord of the Flies,553-60-65425-56-0,Tyler Forth
93,One Hundred Years of Solitude,767-62-04127-74-2,Wade Cassidy
94,Gargantua and Pantagruel,308-62-26570-38-0,Miley Ashley
95,The Handmaid's Tale,206-43-47468-60-8,Tyson Rossi
96,Les Misérables,584-65-40138-02-1,Fred Fulton
97,Lolita,870-20-50142-85-7,Julius Wilcox
98,Lolita,335-76-56284-72-5,Brad Becker
99,The Magic Mountain,468-04-34501-15-5,Emery Dunbar
100,One Thousand and One Nights,207-81-23011-28-7,Tyler Higgs
101,Gone With the Wind,111-67-00254-46-2,Natalie Thomson
102,Alice Adventures in Wonderland,827-32-45832-26-1,Dasha Oswald
103,Hamlet,010-63-06656-73-7,Anthony Reese
104,The Flowers of Evil,020-28-55646-74-3,Lucas Harris
105,Nineteen Eighty Four,030-35-21666-65-5,John Robertson
106,Tristram Shandy,026-71-44882-71-1,Denny Slater
107,The Sun Also Rises,736-34-87428-71-8,Shannon Isaac
108,Pride and Prejudice,362-47-74360-25-4,Freya Willis
109,The Great Gatsby,310-05-27284-67-8,Cristal Thomson
110,The Canterbury Tales,801-88-42868-58-6,Logan Calderwood
111,Tess of the d'Urbervilles,015-87-33283-75-6,Mark Bell
112,Great Expectations,380-03-67073-22-2,Cassandra Rowe
113,Game of Thrones,527-21-56601-33-8,Harry Wise
114,Les Misérables,188-76-46788-10-5,Jacob Grant
115,The Lord of The Rings,532-11-23225-46-7,Alex Osmond
116,Invisible Man,688-28-71325-46-3,Dakota Jones
117,Nineteen Eighty Four,835-10-54438-10-0,Javier Stewart
118,Oedipus,508-36-50685-75-8,Belinda Bryson
119,In Search of Lost Time,716-66-33658-03-1,Aiden Booth
120,David Copperfield,125-72-65408-57-4,Aeris Leslie
121,Gone With the Wind,258-87-65616-82-7,Kendra Upton
122,Lord of the Flies,675-55-30263-67-0,Bryce Utterson
123,Gone With the Wind,120-62-50110-51-1,Liam Collins
124,The Scarlet Letter,311-86-18613-77-0,Carter Alcroft
125,Emma,865-44-15442-30-4,Camellia Wren
126,The Odyssey,373-54-00012-13-0,Kendra Walter
127,The Divine Comedy,875-68-84418-45-5,Hayden Moore
128,Anna Karenina,413-53-64428-40-3,Maxwell Notman
129,Paradise Lost,410-03-77121-53-4,Francesca Stone 
130,The Red and the Black,550-25-11250-03-7,Johnathan Potts
131,The Red and the Black,351-00-24304-80-7,Caleb Terry
132,One Hundred Years of Solitude,515-38-87777-67-4,Audrey Fowler
133,The Metamorphosis,061-74-25745-22-7,Vera Simpson
134,Emma,053-43-52223-65-4,Regina Dwyer
135,The Canterbury Tales,435-61-70443-55-8,Johnny Lucas
136,The Scarlet Letter,310-06-08417-72-8,Liliana Robertson
137,The Lord of The Rings,050-58-73882-56-3,Margot Horton
138,Emma,585-07-26188-12-4,Julian Mccormick
139,Emma,211-54-25067-27-7,Samara Thatcher
140,Paradise Lost,818-52-22487-16-3,Ryan Forth
141,The Great Gatsby,772-51-68804-32-1,Ethan Gavin
142,Tess of the d'Urbervilles,630-60-87143-43-3,Barry Mullins
143,Ulysses,805-06-30526-81-7,Chanelle Matthews
144,The Sun Also Rises,766-37-73362-35-5,Dani Crawford
145,Great Expectations,127-70-80071-80-6,Jules Kennedy
146,The Odyssey,342-31-11501-50-5,Alice Parker
147,Tristram Shandy,444-66-76386-43-0,Bob Cork
148,To Kill a Mockingbird,868-80-15286-38-2,Georgia Ianson
149,The Scarlet Letter,224-15-65014-62-0,Goldie Rose
150,The Flowers of Evil,508-44-37470-23-6,Deborah Taylor
151,The Flowers of Evil,230-52-83775-88-8,Rachael Abbey
152,Madame Bovary,112-67-85676-26-3,Taylor Vaughan
153,The Magic Mountain,344-02-05656-84-7,Leslie Kennedy
154,Emma,807-04-33832-01-4,Leroy Overson
155,The Lord of The Rings,708-37-16012-62-0,Kurt Lloyd
156,Alice Adventures in Wonderland,432-27-00186-44-1,Ivette Norburn
157,The Canterbury Tales,050-81-81821-66-3,Erica Moreno
158,Les Misérables,785-38-07173-15-0,Rosa Furnell
159,Tess of the d'Urbervilles,676-23-40247-34-5,Vanessa London
160,To Kill a Mockingbird,540-61-51624-03-1,Nate Palmer
161,Madame Bovary,756-03-44131-36-2,Abbey Huggins
162,The Magic Mountain,155-14-25508-07-2,Joy Widdows
163,Alice Adventures in Wonderland,332-61-04564-68-0,Freya Ward
164,Invisible Man,174-32-31434-42-0,Phillip John
165,Alice Adventures in Wonderland,661-48-50577-75-8,Benjamin Robertson
166,Robinson Crusoe,307-61-01175-02-6,Kurt Porter
167,Gulliver's Travels,526-31-23644-37-3,Hayden Henderson
168,The Lord of The Rings,235-35-50318-03-0,Kate Robinson
169, Oedipus at Colonus,082-81-73064-62-3,Winnie Connor
170,The Grapes of Wrath,478-58-55002-33-3,Amelia Graham
171,Wuthering Heights,731-61-51381-20-6,Parker Vince
172,Game of Thrones,461-40-25804-05-2,Ramon Wilkinson
173,Game of Thrones,726-23-27203-20-2,Ronald Taylor
174,Emma,014-77-04600-06-5,Leah Gray
175,Paradise Lost,306-61-33287-38-6,Rufus Lindsay
176,The Grapes of Wrath,870-20-12521-64-3,Sloane Mann
177,Paradise Lost,581-47-61571-17-2,Madelyn Roberts
178,The Metamorphosis,143-33-74181-57-4,Harry Parsons
179,The Old Man and the Sea,804-41-17518-06-8,Mary Stone
180,Ulysses,132-22-05384-57-2,Tiffany Ramsey
181,Anna Karenina,685-10-34717-43-8,Benny Gordon
182,Lolita,400-75-87125-27-8,Chadwick Franks
183,Ulysses,876-51-86411-18-8,Anthony Yates
184,Gone With the Wind,154-20-87067-28-2,Cassidy Glynn
185,Don Quixote,586-03-03347-61-2,Owen Norburn
186,Wuthering Heights,166-48-87531-44-8,Johnathan Duvall
187,To Kill a Mockingbird,375-47-41841-17-4,Javier Notman
188,The Divine Comedy,234-66-88488-88-5,Gloria Hunter
189,Madame Bovary,267-73-25437-66-8,Kieth Osman
190,The Grapes of Wrath,362-05-76075-20-7,Ember Blackwall
191,Pride and Prejudice,786-08-18121-16-0,Anthony Fall
192,The Metamorphosis,671-35-81745-34-4,Alexander Bennett
193,The Red and the Black,162-84-53836-42-6,Benjamin Forth
194,The Magic Mountain,252-52-04134-45-6,Jayden Mackenzie
195,The Canterbury Tales,735-52-27321-55-7,Ember Lee
196,The Magic Mountain,450-27-67711-72-6,Makena Radley
197,The Handmaid's Tale,764-50-34107-85-5,Lana Rothwell
198,One Thousand and One Nights,733-78-67710-01-5,Mike Farmer
199,Anna Karenina,247-53-15077-71-4,Olivia Knight
200,Moby Dick,514-67-06782-30-3,Roger Oatway
201,Robinson Crusoe,163-73-27607-85-5,Molly Marshall
202,Great Expectations,181-43-41638-10-4,Boris Dobson
203,The Canterbury Tales,464-32-86861-62-3,Josh Chapman
204, Oedipus at Colonus,886-86-22083-56-5,Sage Hastings
205,To the Lighthouse,775-08-84462-34-8,Kate Marshall
206,Robinson Crusoe,784-26-31225-02-1,Gina Roscoe
207,The Grapes of Wrath,002-00-82308-84-8,Johnny Villiger
208,The Scarlet Letter,307-11-33653-42-4,Alan Fleming
209,Pride and Prejudice,018-26-82753-26-2,Wade Olivier
210,Tess of the d'Urbervilles,650-77-67235-61-5,Lily Isaac
211,The Grapes of Wrath,215-85-15348-10-3,Barry Hunt
212,The Lord of The Rings,485-11-40033-46-0,Ron Simpson
213,Emma,841-81-43436-62-0,Nate Jefferson
214,Tess of the d'Urbervilles,231-71-54716-05-3,Sasha Porter
215, Oedipus at Colonus,233-63-41577-36-2,Bart Stanton
216,Anna Karenina,346-36-76086-37-8,Peter Sanchez
217,Pride and Prejudice,042-18-88137-01-8,Fred Vaughan
218,The Scarlet Letter,763-55-55536-77-7,Johnny Owen
219,Nineteen Eighty Four,807-04-56238-68-0,William Vollans
220,The Lord of The Rings,566-34-85441-13-4,Jacqueline Quinnell
221,The Handmaid's Tale,636-13-06315-86-3,Julius Willis
222,The Canterbury Tales,627-84-11484-57-7,Francesca Noon
223,To the Lighthouse,245-42-50822-56-1,Melinda Robertson
224,Great Expectations,766-51-24635-05-3,Lexi Pratt
225,The Brothers Karamazov ,347-63-67027-46-7,Eileen Knight
226,One Thousand and One Nights,586-71-10788-83-7,Zoe Jackson
227,Don Quixote,150-53-08583-88-4,Mason Bryant
228,Invisible Man,635-12-37846-75-3,Manuel Everett
229,Oedipus,787-71-87117-07-4,Adalind Redden
230,The Red and the Black,387-87-22682-00-4,Caleb Kennedy
231,The Flowers of Evil,767-14-47004-60-0,Alice James
232,Madame Bovary,424-68-55025-61-5,Adela Denton
233,Oedipus,467-67-38876-46-8,Drew Ramsey
234, Oedipus at Colonus,030-87-01027-18-3,Alan Gibson
235,Nineteen Eighty Four,851-65-84717-13-2,Manuel Owen
236,Gone With the Wind,281-65-65654-70-3,Rufus Flack
237,The Handmaid's Tale,708-33-44161-06-8,Liv Allen
238,Tess of the d'Urbervilles,844-53-84003-67-6,Sylvia Quinnell
239,Oedipus,081-17-35484-48-5,Cassidy Harrison
240,The Sun Also Rises,454-04-04220-73-8,Morgan Hardwick
241,The Scarlet Letter,816-60-07044-81-4,Emmanuelle Baker
242,Lord of the Flies,737-65-86752-71-8,Johnathan Whitehouse
243,Wuthering Heights,444-73-45804-41-7,Natalie Calderwood
244,Gargantua and Pantagruel,855-43-28746-07-5,Kurt Ellison
245,Don Quixote,340-33-82643-15-7,Marvin Grant
246,Alice Adventures in Wonderland,678-71-25886-50-4,Joseph Rodgers
247,Paradise Lost,736-35-62677-61-6,Chloe Utterson
248,Tristram Shandy,056-31-14341-56-0,Oliver Swift
249,Alice Adventures in Wonderland,266-61-15023-77-1,Carissa Robinson
250,The Grapes of Wrath,647-25-11804-60-6,Brad Price
251,The Good Soldier,237-67-30287-65-2,Henry Glass
252,The Old Man and the Sea,861-76-44706-80-4,Rachael Booth
253,The Metamorphosis,727-27-07062-43-7,Lucas Hancock
254,Paradise Lost,377-65-72875-12-3,Caydence Patel
255,War and Peace,273-70-53701-03-2,Carmen Tobin
256,Tess of the d'Urbervilles,638-71-34303-67-2,Phillip Nielson
257,Anna Karenina,164-72-13855-14-4,Dalia Whinter
258,In Search of Lost Time,817-60-37302-68-6,Diane Verdon
259, Oedipus at Colonus,155-04-14757-27-4,Dasha Mould
260,Lolita,677-30-25428-68-7,Angelique Ralph
261,Tristram Shandy,113-43-83835-44-4,Leah Thomson
262,Hamlet,718-50-20521-78-7,Amy Armstrong
263, Oedipus at Colonus,862-13-84466-18-6,Harvey Reid
264,Gargantua and Pantagruel,287-70-83816-48-4,Denis Evans
265,Tristram Shandy,118-73-24134-75-4,Taylor Kelly
266, Oedipus at Colonus,411-27-68211-84-1,Michaela Reese
267,The Magic Mountain,567-87-63563-42-5,Johnny Reid
268,Madame Bovary,223-13-30520-55-1,Ron Hepburn
269,The Magic Mountain,713-16-36512-38-5,Candace Attwood
270,The Lord of The Rings,540-12-27356-70-4,Sofia Gray
271,Wuthering Heights,434-35-75410-55-5,Maxwell Talbot
272,In Search of Lost Time,151-14-85616-85-5,Harry Cooper
273,The Magic Mountain,371-28-64501-16-8,Chris Gaynor
274,The Brothers Karamazov ,568-18-48540-58-5,Chris Chapman
275,Great Expectations,746-11-85446-30-1,Brad Lomax
276,Paradise Lost,827-03-32645-86-4,Olivia Ingham
277,The Good Soldier,502-74-63546-45-2,Hayden Wren
278,The Red and the Black,438-24-04452-57-0,Matt Walker
279,The Handmaid's Tale,541-74-44375-61-1,Holly Simpson
280,The Good Soldier,118-21-87273-67-4,Boris Abbey
281,David Copperfield,151-08-74853-72-4,Elise Selby
282,Tristram Shandy,770-24-43560-65-3,Carter Butler
283,The Sun Also Rises,621-42-34345-00-3,Doug Baker
284,The Grapes of Wrath,873-36-06426-72-1,Nick Shaw
285,Invisible Man,733-85-35888-34-3,Lucy Phillips
286,To the Lighthouse,032-10-23085-50-3,Lucy Sanchez
287,Robinson Crusoe,158-03-36361-28-7,Rae Allen
288,The Flowers of Evil,413-76-18757-07-5,Mike Collins
289,The Grapes of Wrath,803-25-04621-11-1,William Palmer
290,The Metamorphosis,628-53-40274-65-1,Chadwick Hill
291,To Kill a Mockingbird,504-37-18040-75-3,Courtney Randall
292,The Brothers Karamazov ,162-34-53074-70-1,Sydney Veale
293,Great Expectations,336-17-00483-25-3,Angelina Furnell
294,Anna Karenina,254-31-30385-10-2,Quinn Powell
295,The Great Gatsby,308-72-62851-13-4,Mike Irving
296,Invisible Man,428-82-05684-84-5,Javier Parr
297,Les Misérables,308-38-82352-80-3,Logan Addison
298,Great Expectations,662-00-03031-24-8,Payton Strong
299,The Canterbury Tales,341-54-36466-66-4,Ron Gray
300,The Magic Mountain,341-22-85256-88-5,Wade Lunt
301,The Magic Mountain,385-72-35432-52-7,Rufus Shea
302,Paradise Lost,547-81-45275-65-0,Caleb Larkin
303,Moby Dick,230-41-04675-80-7,Rihanna Willis
304,Pride and Prejudice,541-22-30437-78-2,Erick Cavanagh
305,War and Peace,247-14-33227-52-0,Tyson Forester
306,Game of Thrones,825-70-88862-66-4,Manuel Ross
307,The Canterbury Tales,832-71-16084-42-3,Denny Lloyd
308,Lord of the Flies,758-61-57160-64-6,Ember Farrell
309,The Divine Comedy,430-27-17703-46-3,Eduardo Cadman
310,Les Misérables,844-37-74530-05-2,Kassandra Dann
311,Madame Bovary,864-80-41811-34-3,Tony Mcguire
312,Vanity Fair,083-46-45630-61-7,Isabella Griffiths
313,The Divine Comedy,076-37-02355-00-8,Daniel Rust
314,The Odyssey,400-82-27263-36-3,Jaylene Jefferson
315,One Hundred Years of Solitude,016-01-70007-55-3,Chester Vane
316,Invisible Man,331-77-58016-86-2,Nicholas Burge
317,One Hundred Years of Solitude,774-72-20813-16-2,Rebecca Flynn
318,Robinson Crusoe,840-52-47880-13-6,Eden Hogg
319,The Red and the Black,374-10-11852-63-8,Camila Parr
320,The Red and the Black,356-84-26831-74-4,Samara Evans
321,Great Expectations,772-27-38662-04-0,Rose Mould
322,To Kill a Mockingbird,170-07-56168-23-0,Marjorie Oatway
323,The Good Soldier,546-54-26260-53-3,Meredith Roberts
324,Paradise Lost,588-30-14013-62-5,Fred Goldsmith
325,To the Lighthouse,836-15-52714-07-3,Chad Hale
326,Tristram Shandy,884-25-21537-08-1,Nate Long
327,Gulliver's Travels,443-48-36486-31-7,Chuck Woods
328,Anna Karenina,726-13-14416-17-0,Javier Adler
329,To the Lighthouse,868-88-46664-73-5,Paula Atkinson
330,Gulliver's Travels,415-61-37865-56-8,Kaylee Thompson
331,Great Expectations,060-27-68456-60-5,Lindsay Palmer
332, Oedipus at Colonus,540-66-31818-18-7,Aleksandra Forth
333,Emma,688-66-45245-07-1,Mayleen Price
334,To Kill a Mockingbird,825-63-28267-74-7,Danny Gardner
335,Nineteen Eighty Four,148-38-03316-00-8,Rebecca Mcguire
336,The Grapes of Wrath,072-53-58385-76-6,Tom Connell
337,Tess of the d'Urbervilles,447-38-11215-81-6,Rosie Baldwin
338,Ulysses,560-66-80883-56-3,Hailey James
339,Game of Thrones,643-50-60310-02-1,Ally Webster
340,Gulliver's Travels,265-17-57487-54-6,Kurt Jenkin
341,War and Peace,818-14-08357-86-6,Noemi Moreno
342,The Sun Also Rises,478-87-85117-47-3,Sebastian Heaton
343,The Good Soldier,174-66-55716-76-1,Russel Lloyd
344,The Scarlet Letter,246-60-23031-34-1,Mary Brooks
345,Anna Karenina,157-76-12051-63-8,Jack Richards
346,Anna Karenina,818-71-40533-22-0,Tony Townend
347,Hamlet,234-45-23531-66-4,Emerald Collins
348,Gulliver's Travels,601-20-16136-06-5,Rosalee Allington
349,Tess of the d'Urbervilles,100-63-84263-38-7,Caydence Taylor
350,Don Quixote,354-61-26214-37-7,Maxwell Hancock
351,War and Peace,588-13-15026-21-5,Barney Ring
352,To the Lighthouse,542-18-62413-13-8,Marvin Baxter
353,The Canterbury Tales,023-80-47574-40-5,Russel Nelson
354,Vanity Fair,516-45-25617-46-3,Martin Thomson
355,Vanity Fair,050-44-83401-73-4,Leslie Trent
356,In Search of Lost Time,452-63-87186-38-4,Mabel Ward
357,Lord of the Flies,383-81-13851-73-5,Karen Fowler
358,The Odyssey,178-65-51252-85-5,John Preston
359,Nineteen Eighty Four,464-52-48677-07-2,Stephanie Reid
360,Paradise Lost,608-47-22657-32-0,Denis Ulyatt
361,Great Expectations,303-27-30866-13-2,Kaylee Thornton
362,Gulliver's Travels,474-65-32866-54-7,Ronald Vass
363,Tess of the d'Urbervilles,356-38-68505-02-2,John Owen
364, Oedipus at Colonus,203-57-50315-43-8,Joseph Nicolas
365,Tristram Shandy,177-45-15157-15-3,Hazel Pearson
366,Gargantua and Pantagruel,614-25-85070-31-1,Harvey Shea
367,The Odyssey,027-46-76317-76-6,Elijah Cartwright
368,The Canterbury Tales,088-15-71460-18-4,William Vinton
369,In Search of Lost Time,338-28-27731-72-0,Cedrick Williams
370,Invisible Man,606-63-36007-43-5,Madison Hancock
371,Anna Karenina,756-81-61225-31-5,Cherish Walter
372,In Search of Lost Time,220-78-81183-23-6,Chelsea Shaw
373,Gulliver's Travels,087-05-25316-37-3,Cynthia Moore
374,The Old Man and the Sea,437-28-54612-78-4,Elisabeth Patel
375,Oedipus,065-46-84461-72-5,Boris Owen
376,The Metamorphosis,875-50-23230-64-6,Ruby Tailor
377,War and Peace,503-56-33723-54-5,Meredith Gavin
378,The Divine Comedy,231-10-32228-60-0,Boris Thompson
379,The Red and the Black,130-01-42678-66-6,Aiden Janes
380,Ulysses,178-44-61244-57-1,Ron Waterson
381,Oedipus,384-70-88314-44-4,Tyson Addley
382,The Scarlet Letter,481-35-67660-68-6,Daria Casey
383,Hamlet,134-81-70131-57-8,William Nicholls
384,Invisible Man,181-26-15138-23-4,Wade Eddison
385,One Hundred Years of Solitude,204-23-01114-17-6,Doug Ogilvy
386,Oedipus,172-63-18768-76-8,Chuck Mann
387,One Thousand and One Nights,612-56-88146-32-5,Carter Yates
388,The Flowers of Evil,076-78-75460-33-2,Benny Plumb
389,Nineteen Eighty Four,228-03-83574-44-1,Tyler Russell
390,Anna Karenina,700-57-35107-56-2,Penelope Spencer
391,Nineteen Eighty Four,643-66-83102-18-4,Gabriel Nanton
392,Game of Thrones,620-53-82831-77-4,Taylor Simmons
393,The Sound and the Fury,351-41-06360-41-4,Hayden Holt
394,Moby Dick,370-62-40727-53-4,Piper Mooney
395,David Copperfield,566-54-13157-66-7,Nate Connell
396,Wuthering Heights,053-10-00672-00-2,Marvin Ring
397,To Kill a Mockingbird,150-57-55455-30-4,Julianna Drake
398,Anna Karenina,802-45-55868-20-3,Dakota Simpson
399,The Great Gatsby,170-61-06634-65-3,Rocco Baker
400,The Great Gatsby,262-24-04616-23-2,Jackeline Partridge
401,To the Lighthouse,222-37-05711-72-2,Miley Bolton
402,Great Expectations,418-76-74082-32-1,Ryan Vinton
403,Invisible Man,565-54-66328-53-7,Tiffany Harris
404,Tess of the d'Urbervilles,328-54-36376-14-0,Benny James
405,Robinson Crusoe,445-60-41338-85-0,Chanelle Ashwell
406,The Magic Mountain,187-20-38158-57-2,Noemi Beal
407,Madame Bovary,144-12-77214-66-6,Gil Matthews
408,Ulysses,356-03-16435-54-1,Rae Saunders
409,The Handmaid's Tale,586-17-18087-14-7,Denis Veale
410,Tristram Shandy,821-36-26582-17-8,Marina Whitmore
411,The Canterbury Tales,475-54-46042-50-5,Julian Ring
412,David Copperfield,565-17-58588-72-8,Tom Gray
413,David Copperfield,388-73-73318-14-2,Marjorie Stone 
414,Nineteen Eighty Four,204-85-25055-86-5,Tara Willson
415,The Divine Comedy,378-81-71765-70-5,Paige Zaoui
416,The Metamorphosis,528-66-62671-45-4,Martin Hood
417,Vanity Fair,147-30-22185-70-8,Leroy Knight
418,The Grapes of Wrath,686-15-16126-62-1,Ellen Bishop
419,The Magic Mountain,184-15-05570-46-8,Jolene Adams
420,In Search of Lost Time,880-24-21275-57-6,Mason Sloan
421,War and Peace,047-71-81571-14-2,Matthew Kennedy
422,War and Peace,001-06-63864-86-0,Lorraine Sylvester
423,Great Expectations,843-67-88561-87-4,Logan Clayton
424,The Old Man and the Sea,575-52-73734-17-6,Anne Freeburn
425,Invisible Man,725-82-02384-31-2,Esmeralda Milner
426,The Brothers Karamazov ,773-65-68734-67-8,Chad Bradshaw
427,In Search of Lost Time,852-13-63222-06-1,Sienna Owens
428,The Flowers of Evil,851-12-56074-45-0,Rita Asher
429,Oedipus,645-63-18423-81-2,Samantha Bradley
430,Lord of the Flies,471-36-05142-76-2,Britney Quinton
431,To the Lighthouse,163-04-41601-67-5,Hayden Waterson
432,Gargantua and Pantagruel,516-38-30577-07-8,Nicholas Clayton
433,Tess of the d'Urbervilles,583-28-28667-73-8,Sadie Morrison
434,Gone With the Wind,470-01-23355-07-0,Susan Waterhouse
435,David Copperfield,103-45-76625-11-8,Lillian Harrington
436,Great Expectations,703-74-58736-77-5,William Taylor
437,Emma,284-08-02376-22-6,Alexa Grady
438,Lolita,070-86-33621-87-6,Kassandra Rainford
439,The Metamorphosis,113-38-80358-64-5,Chad Norris
440,The Odyssey,818-34-51257-35-1,Natalie Dowson
441,The Old Man and the Sea,074-31-70413-52-5,Boris Hewitt
442,The Odyssey,481-25-52020-57-4,Joseph Stanley
443,One Hundred Years of Solitude,304-47-28831-40-8,Carl Phillips
444,Emma,517-74-22276-35-6,Angel Bennett
445,The Canterbury Tales,303-36-52223-70-2,Elle Henderson
446,Anna Karenina,044-58-61185-52-6,Jamie Dillon
447,Ulysses,622-88-45427-41-5,Amy Rust
448,One Hundred Years of Solitude,542-53-21160-60-4,Noah Yoman
449,One Hundred Years of Solitude,107-21-88067-60-3,Gladys Khan
450,Lord of the Flies,887-22-00624-74-6,Maggie Wright
451, Oedipus at Colonus,586-13-43463-31-2,Sebastian Dickson
452,Nineteen Eighty Four,830-27-06584-05-8,Marina Atkinson
453,Les Misérables,258-04-34655-54-8,Alan Vallory
454,Vanity Fair,862-76-80540-38-6,Camila Gonzales
455,Pride and Prejudice,053-24-85524-00-8,Brad Tobin
456,The Handmaid's Tale,884-44-58383-17-7,Savannah Doherty
457,Gulliver's Travels,205-14-65234-85-5,Cristal Dann
458,The Canterbury Tales,578-44-84845-46-4,Nate Dickson
